📡 GAIA Using Local SQLite: /Users/macbook/.gemini/antigravity/scratch/petroleum-ai/gaia/../well_analyses_v3.db
🚀 Starting GAIA AI — Nigerian Petroleum Intelligence Platform (Modular)...
⚡ Supercomputer throttled to 6 cores (Mac-safe)
🧠 Starting GAIA Autonomous Growth Service...
✅ ML models ready — 208 training samples

   GAIA AI is running at: http://127.0.0.1:5001
   (To use offsite storage, set DATABASE_URL environment variable)
 * Serving Flask app 'gaia.app'
 * Debug mode: off
[31m[1mWARNING: This is a development server. Do not use it in a production deployment. Use a production WSGI server instead.[0m
 * Running on all addresses (0.0.0.0)
 * Running on http://127.0.0.1:5001
 * Running on http://192.168.1.83:5001
[33mPress CTRL+C to quit[0m
127.0.0.1 - - [07/May/2026 09:09:23] "OPTIONS /api/auth/sso-verify HTTP/1.1" 200 -
127.0.0.1 - - [07/May/2026 09:09:25] "POST /api/auth/sso-verify HTTP/1.1" 200 -
127.0.0.1 - - [07/May/2026 09:09:30] "[32mGET / HTTP/1.1[0m" 302 -
127.0.0.1 - - [07/May/2026 09:09:30] "GET /dashboard HTTP/1.1" 200 -
127.0.0.1 - - [07/May/2026 09:09:30] "[36mGET /static/css/index.css HTTP/1.1[0m" 304 -
127.0.0.1 - - [07/May/2026 09:09:30] "[36mGET /static/css/index.css HTTP/1.1[0m" 304 -
127.0.0.1 - - [07/May/2026 09:09:31] "GET /api/chat/status HTTP/1.1" 200 -
127.0.0.1 - - [07/May/2026 09:09:41] "GET /api/intelligence/growth-status HTTP/1.1" 200 -
127.0.0.1 - - [07/May/2026 09:09:51] "GET /api/intelligence/growth-status HTTP/1.1" 200 -
127.0.0.1 - - [07/May/2026 09:10:01] "GET /api/chat/status HTTP/1.1" 200 -
127.0.0.1 - - [07/May/2026 09:10:01] "GET /api/intelligence/growth-status HTTP/1.1" 200 -
127.0.0.1 - - [07/May/2026 09:10:11] "GET /api/intelligence/growth-status HTTP/1.1" 200 -
127.0.0.1 - - [07/May/2026 09:10:21] "GET /api/intelligence/growth-status HTTP/1.1" 200 -
127.0.0.1 - - [07/May/2026 09:10:31] "GET /api/chat/status HTTP/1.1" 200 -
127.0.0.1 - - [07/May/2026 09:10:31] "GET /api/intelligence/growth-status HTTP/1.1" 200 -
127.0.0.1 - - [07/May/2026 09:10:41] "GET /api/intelligence/growth-status HTTP/1.1" 200 -
127.0.0.1 - - [07/May/2026 09:10:51] "GET /api/intelligence/growth-status HTTP/1.1" 200 -
127.0.0.1 - - [07/May/2026 09:11:01] "GET /api/chat/status HTTP/1.1" 200 -
127.0.0.1 - - [07/May/2026 09:11:01] "GET /api/intelligence/growth-status HTTP/1.1" 200 -
127.0.0.1 - - [07/May/2026 09:11:11] "GET /api/intelligence/growth-status HTTP/1.1" 200 -
127.0.0.1 - - [07/May/2026 09:11:21] "GET /api/intelligence/growth-status HTTP/1.1" 200 -
127.0.0.1 - - [07/May/2026 09:11:31] "GET /api/chat/status HTTP/1.1" 200 -
127.0.0.1 - - [07/May/2026 09:11:31] "GET /api/intelligence/growth-status HTTP/1.1" 200 -
127.0.0.1 - - [07/May/2026 09:11:41] "GET /api/intelligence/growth-status HTTP/1.1" 200 -
127.0.0.1 - - [07/May/2026 09:11:51] "GET /api/intelligence/growth-status HTTP/1.1" 200 -
127.0.0.1 - - [07/May/2026 09:12:01] "GET /api/chat/status HTTP/1.1" 200 -
127.0.0.1 - - [07/May/2026 09:12:01] "GET /api/intelligence/growth-status HTTP/1.1" 200 -
127.0.0.1 - - [07/May/2026 09:12:11] "GET /api/intelligence/growth-status HTTP/1.1" 200 -
127.0.0.1 - - [07/May/2026 09:12:21] "GET /api/intelligence/growth-status HTTP/1.1" 200 -
127.0.0.1 - - [07/May/2026 09:12:31] "GET /api/chat/status HTTP/1.1" 200 -
127.0.0.1 - - [07/May/2026 09:12:31] "GET /api/intelligence/growth-status HTTP/1.1" 200 -
127.0.0.1 - - [07/May/2026 09:12:41] "GET /api/intelligence/growth-status HTTP/1.1" 200 -
127.0.0.1 - - [07/May/2026 09:12:51] "GET /api/intelligence/growth-status HTTP/1.1" 200 -
127.0.0.1 - - [07/May/2026 09:13:01] "GET /api/chat/status HTTP/1.1" 200 -
127.0.0.1 - - [07/May/2026 09:13:01] "GET /api/intelligence/growth-status HTTP/1.1" 200 -
127.0.0.1 - - [07/May/2026 09:13:11] "GET /api/intelligence/growth-status HTTP/1.1" 200 -
127.0.0.1 - - [07/May/2026 09:13:21] "GET /api/intelligence/growth-status HTTP/1.1" 200 -
127.0.0.1 - - [07/May/2026 09:13:31] "GET /api/chat/status HTTP/1.1" 200 -
127.0.0.1 - - [07/May/2026 09:13:31] "GET /api/intelligence/growth-status HTTP/1.1" 200 -
127.0.0.1 - - [07/May/2026 09:13:41] "GET /api/intelligence/growth-status HTTP/1.1" 200 -
127.0.0.1 - - [07/May/2026 09:13:51] "GET /api/intelligence/growth-status HTTP/1.1" 200 -
127.0.0.1 - - [07/May/2026 09:14:01] "GET /api/chat/status HTTP/1.1" 200 -
127.0.0.1 - - [07/May/2026 09:14:01] "GET /api/intelligence/growth-status HTTP/1.1" 200 -
127.0.0.1 - - [07/May/2026 09:14:11] "GET /api/intelligence/growth-status HTTP/1.1" 200 -
127.0.0.1 - - [07/May/2026 09:14:21] "GET /api/intelligence/growth-status HTTP/1.1" 200 -
127.0.0.1 - - [07/May/2026 09:14:31] "GET /api/chat/status HTTP/1.1" 200 -
127.0.0.1 - - [07/May/2026 09:14:31] "GET /api/intelligence/growth-status HTTP/1.1" 200 -
127.0.0.1 - - [07/May/2026 09:14:41] "GET /api/intelligence/growth-status HTTP/1.1" 200 -
127.0.0.1 - - [07/May/2026 09:14:51] "GET /api/intelligence/growth-status HTTP/1.1" 200 -
127.0.0.1 - - [07/May/2026 09:15:01] "GET /api/chat/status HTTP/1.1" 200 -
127.0.0.1 - - [07/May/2026 09:15:01] "GET /api/intelligence/growth-status HTTP/1.1" 200 -
127.0.0.1 - - [07/May/2026 09:15:11] "GET /api/intelligence/growth-status HTTP/1.1" 200 -
127.0.0.1 - - [07/May/2026 09:15:21] "GET /api/intelligence/growth-status HTTP/1.1" 200 -
127.0.0.1 - - [07/May/2026 09:15:31] "GET /api/chat/status HTTP/1.1" 200 -
127.0.0.1 - - [07/May/2026 09:15:31] "GET /api/intelligence/growth-status HTTP/1.1" 200 -
127.0.0.1 - - [07/May/2026 09:15:41] "GET /api/intelligence/growth-status HTTP/1.1" 200 -
127.0.0.1 - - [07/May/2026 09:15:51] "GET /api/intelligence/growth-status HTTP/1.1" 200 -
127.0.0.1 - - [07/May/2026 09:16:01] "GET /api/chat/status HTTP/1.1" 200 -
127.0.0.1 - - [07/May/2026 09:16:01] "GET /api/intelligence/growth-status HTTP/1.1" 200 -
127.0.0.1 - - [07/May/2026 09:16:11] "GET /api/intelligence/growth-status HTTP/1.1" 200 -
127.0.0.1 - - [07/May/2026 09:16:21] "GET /api/intelligence/growth-status HTTP/1.1" 200 -
127.0.0.1 - - [07/May/2026 09:16:31] "GET /api/chat/status HTTP/1.1" 200 -
127.0.0.1 - - [07/May/2026 09:16:31] "GET /api/intelligence/growth-status HTTP/1.1" 200 -
127.0.0.1 - - [07/May/2026 09:16:42] "GET /api/intelligence/growth-status HTTP/1.1" 200 -
127.0.0.1 - - [07/May/2026 09:16:52] "GET /api/intelligence/growth-status HTTP/1.1" 200 -
127.0.0.1 - - [07/May/2026 09:17:01] "GET /api/chat/status HTTP/1.1" 200 -
127.0.0.1 - - [07/May/2026 09:17:02] "GET /api/intelligence/growth-status HTTP/1.1" 200 -
127.0.0.1 - - [07/May/2026 09:17:12] "GET /api/intelligence/growth-status HTTP/1.1" 200 -
127.0.0.1 - - [07/May/2026 09:17:22] "GET /api/intelligence/growth-status HTTP/1.1" 200 -
127.0.0.1 - - [07/May/2026 09:17:31] "GET /api/chat/status HTTP/1.1" 200 -
127.0.0.1 - - [07/May/2026 09:17:32] "GET /api/intelligence/growth-status HTTP/1.1" 200 -
127.0.0.1 - - [07/May/2026 09:17:42] "GET /api/intelligence/growth-status HTTP/1.1" 200 -
127.0.0.1 - - [07/May/2026 09:17:52] "GET /api/intelligence/growth-status HTTP/1.1" 200 -
127.0.0.1 - - [07/May/2026 09:18:01] "GET /api/chat/status HTTP/1.1" 200 -
127.0.0.1 - - [07/May/2026 09:18:02] "GET /api/intelligence/growth-status HTTP/1.1" 200 -
127.0.0.1 - - [07/May/2026 09:18:12] "GET /api/intelligence/growth-status HTTP/1.1" 200 -
127.0.0.1 - - [07/May/2026 09:18:22] "GET /api/intelligence/growth-status HTTP/1.1" 200 -
127.0.0.1 - - [07/May/2026 09:18:31] "GET /api/chat/status HTTP/1.1" 200 -
127.0.0.1 - - [07/May/2026 09:18:32] "GET /api/intelligence/growth-status HTTP/1.1" 200 -
127.0.0.1 - - [07/May/2026 09:18:42] "GET /api/intelligence/growth-status HTTP/1.1" 200 -
127.0.0.1 - - [07/May/2026 09:18:52] "GET /api/intelligence/growth-status HTTP/1.1" 200 -
127.0.0.1 - - [07/May/2026 09:19:01] "GET /api/chat/status HTTP/1.1" 200 -
127.0.0.1 - - [07/May/2026 09:19:02] "GET /api/intelligence/growth-status HTTP/1.1" 200 -
127.0.0.1 - - [07/May/2026 09:19:12] "GET /api/intelligence/growth-status HTTP/1.1" 200 -
127.0.0.1 - - [07/May/2026 09:19:22] "GET /api/intelligence/growth-status HTTP/1.1" 200 -
127.0.0.1 - - [07/May/2026 09:19:31] "GET /api/chat/status HTTP/1.1" 200 -
127.0.0.1 - - [07/May/2026 09:19:32] "GET /api/intelligence/growth-status HTTP/1.1" 200 -
127.0.0.1 - - [07/May/2026 09:19:42] "GET /api/intelligence/growth-status HTTP/1.1" 200 -
127.0.0.1 - - [07/May/2026 09:19:52] "GET /api/intelligence/growth-status HTTP/1.1" 200 -
